CHỦ ĐỀ: MÔI TRƯỜNG,,,,,,,,,,,,,,,,,,,,,,,,
26,Do you believe individuals can make a difference in protecting the environment?,Bạn có tin rằng mỗi cá nhân có thể tạo ra sự khác biệt trong việc bảo vệ môi trường không?,"Yes, small actions like recycling and reducing waste contribute to bigger changes when many people participate.","Đúng, những hành động nhỏ như tái chế và giảm chất thải góp phần tạo nên những thay đổi lớn hơn khi có nhiều người tham gia.",,,,,,,,,,,,,,,,,,,,
27,How often do you think about your environmental impact?,Bạn thường nghĩ về tác động của mình đến môi trường như thế nào?,"I consider it daily, especially when making choices like using reusable items or conserving energy at home.","Tôi cân nhắc điều này hàng ngày, đặc biệt là khi đưa ra những lựa chọn như sử dụng các vật dụng có thể tái sử dụng hoặc tiết kiệm năng lượng tại nhà.",,,,,,,,,,,,,,,,,,,,
28,Have you noticed changes in your local environment over the past decade?,Bạn có nhận thấy những thay đổi trong môi trường địa phương của mình trong thập kỷ qua không?,"Yes, summers are hotter, and there’s more plastic waste in rivers compared to 10 years ago","Có, mùa hè nóng hơn và rác thải nhựa ở sông nhiều hơn so với 10 năm trước",,,,,,,,,,,,,,,,,,,,
29,Do you separate recyclables from regular trash at home?,Bạn có phân loại rác tái chế khỏi rác thải thông thường ở nhà không?,"Yes, I sort paper, plastic, and glass into separate bins to ensure they’re properly recycled","Có, tôi phân loại giấy, nhựa và thủy tinh vào các thùng riêng để đảm bảo chúng được tái chế đúng cách",,,,,,,,,,,,,,,,,,,,
30,How do you reduce plastic use in daily life?,Bạn làm thế nào để giảm thiểu việc sử dụng nhựa trong cuộc sống hàng ngày?,"I carry a reusable water bottle, avoid plastic straws, and choose products with minimal packagin","Tôi mang theo một chai nước có thể tái sử dụng, tránh ống hút nhựa và chọn các sản phẩm có bao bì tối thiểu",,,,,,,,,,,,,,,,,,,,
31,What’s your opinion on single-use plastics?,Bạn có ý kiến ​​gì về nhựa dùng một lần không?,They should be banned because they pollute oceans and harm marine life unnecessarily,Chúng nên bị cấm vì chúng gây ô nhiễm đại dương và gây hại không cần thiết cho sinh vật biển,,,,,,,,,,,,,,,,,,,,
32,Have you participated in a community clean-up event?,Bạn đã tham gia sự kiện dọn dẹp cộng đồng nào chưa?,"Yes, I joined a beach clean-up last month and collected over 5 kg of trash","Có, tôi đã tham gia một hoạt động dọn dẹp bãi biển vào tháng trước và thu gom được hơn 5 kg rác",,,,,,,,,,,,,,,,,,,,
33,Have you made any energy-saving changes at home?,Bạn đã thực hiện bất kỳ thay đổi nào để tiết kiệm năng lượng tại nhà không?,"I switched to LED bulbs and unplug devices when not in use to cut electricity waste.""","Tôi đã chuyển sang sử dụng bóng đèn LED và rút phích cắm các thiết bị khi không sử dụng để cắt giảm lãng phí điện.""",,,,,,,,,,,,,,,,,,,,
34,Would you consider buying an electric vehicle?,Bạn có cân nhắc mua xe điện không?,"Yes, if charging stations become more accessible and prices are affordable","Có, nếu các trạm sạc dễ tiếp cận hơn và giá cả phải chăng",,,,,,,,,,,,,,,,,,,,
35,Have you ever donated to wildlife conservation?,Bạn đã từng quyên góp cho hoạt động bảo tồn động vật hoang dã chưa?,"I donated to a rainforest protection fund last year to help save orangutans.""","Tôi đã quyên góp cho một quỹ bảo vệ rừng nhiệt đới vào năm ngoái để giúp cứu đười ươi.""",,,,,,,,,,,,,,,,,,,,
36, Do you avoid products linked to deforestation?,Bạn có tránh các sản phẩm liên quan đến nạn phá rừng không?,I check labels for sustainable palm oil and avoid brands harming rainforests.,Tôi kiểm tra nhãn mác để tìm dầu cọ bền vững và tránh các nhãn hiệu gây hại cho rừng nhiệt đới.,,,,,,,,,,,,,,,,,,,,
37,Is your country doing enough to address environmental issues?,Quốc gia của bạn đã làm đủ để giải quyết các vấn đề về môi trường chưa?,"No, policies are weak, and enforcement is inconsistent compared to global standards.""","Không, các chính sách còn yếu và việc thực thi không nhất quán so với các tiêu chuẩn toàn cầu.""",,,,,,,,,,,,,,,,,,,,
38,Do you talk to friends/family about environmental issues?,Bạn có nói chuyện với bạn bè/gia đình về các vấn đề về môi trường không?,"Yes, I share tips on recycling and energy savings to inspire others.","Có, tôi chia sẻ các mẹo về tái chế và tiết kiệm năng lượng để truyền cảm hứng cho những người khác.",,,,,,,,,,,,,,,,,,,,
39,Do you check air quality before going outside?,Bạn có kiểm tra chất lượng không khí trước khi ra ngoài không?,Only on hazy days—my phone app gives me alerts when it’s really bad,Chỉ vào những ngày sương mù—ứng dụng điện thoại của tôi sẽ cảnh báo tôi khi tình hình thực sự tồi tệ,,,,,,,,,,,,,,,,,,,,
40,How serious is plastic pollution in your local area?,Ô nhiễm nhựa ở khu vực địa phương của bạn nghiêm trọng đến mức nào?,It's getting worse every year. I can spot plastic bags stuck in trees after every heavy wind,Tình hình ngày càng tệ hơn mỗi năm. Tôi có thể phát hiện ra những chiếc túi nilon mắc kẹt trên cây sau mỗi cơn gió lớn,,,,,,,,,,,,,,,,,,,,
41,How would you describe the air quality in your city?,Bạn sẽ mô tả chất lượng không khí ở thành phố của bạn như thế nào?,Some mornings it's so hazy I can't even see the buildings across the street - like living in a bowl of soup!,Một số buổi sáng trời sương mù đến nỗi tôi thậm chí không thể nhìn thấy các tòa nhà bên kia đường - giống như sống trong một bát súp!,,,,,,,,,,,,,,,,,,,,
42,How does water pollution affect marine life?,Ô nhiễm nước ảnh hưởng đến sinh vật biển như thế nào?,"It leads to habitat destruction, toxic contamination, and loss of biodiversity.","Điều này dẫn đến việc phá hủy môi trường sống, ô nhiễm độc hại và mất đa dạng sinh học.",,,,,,,,,,,,,,,,,,,,
43,Do you believe climate change is a serious issue?,Bạn có tin rằng biến đổi khí hậu là một vấn đề nghiêm trọng không?,"Yes, I think it’s one of the biggest threats to our future.","Có, tôi nghĩ đây là một trong những mối đe dọa lớn nhất đối với tương lai của chúng ta.",,,,,,,,,,,,,,,,,,,,
44,Would you be willing to pay more for eco-friendly products?,Bạn có sẵn sàng trả nhiều tiền hơn cho các sản phẩm thân thiện với môi trường không?,"Yes, but only if the price difference is not too big.","Có, nhưng chỉ khi chênh lệch giá không quá lớn.",,,,,,,,,,,,,,,,,,,,
45,Would you support higher taxes on polluting industries?,Bạn có ủng hộ việc tăng thuế đối với các ngành công nghiệp gây ô nhiễm không?,"Yes, but only if the money is used for environmental protection.","Có, nhưng chỉ khi số tiền đó được sử dụng để bảo vệ môi trường.",,,,,,,,,,,,,,,,,,,,
46,What is the biggest cause of climate change?,Có nhiều ô nhiễm ở nơi bạn sống không?,"Yes, there is pollution where I live in Hanoi, Vietnam. Air pollution is the most serious environmental problem in Hanoi.","Có, nơi tôi sống ở Hà Nội, Việt Nam có ô nhiễm. Ô nhiễm không khí là vấn đề môi trường nghiêm trọng nhất ở Hà Nội.",,,,,,,,,,,,,,,,,,,,
47,What kinds of pollution are serious in your country?,Những loại ô nhiễm nào là nghiêm trọng ở quốc gia của bạn?,"Unfortunately, pollution is a significant issue in Vietnam. Some of the most serious types of pollution include air pollution, water pollution, and noise pollution.","Thật không may, ô nhiễm là một vấn đề đáng kể ở Việt Nam. Một số loại ô nhiễm nghiêm trọng nhất bao gồm ô nhiễm không khí, ô nhiễm nước và ô nhiễm tiếng ồn.",,,,,,,,,,,,,,,,,,,,
48,Do you take an interest in nature? ,Bạn có quan tâm đến thiên nhiên không?,"Yes, I do. I find nature to be a fascinating and complex system that is full of beauty and wonder.","Có, tôi thấy vậy. Tôi thấy thiên nhiên là một hệ thống phức tạp và hấp dẫn, đầy vẻ đẹp và sự kỳ diệu.",,,,,,,,,,,,,,,,,,,,
49,Do you like growing plants? ,Bạn có thích trồng cây không?,"Yes, I do enjoy growing plants. I also appreciate the beauty that plants bring to my home and garden. ","Vâng, tôi thích trồng cây. Tôi cũng trân trọng vẻ đẹp mà cây cối mang lại cho ngôi nhà và khu vườn của tôi.",,,,,,,,,,,,,,,,,,,,
50,Why is environmental education important?,Tại sao giáo dục môi trường lại quan trọng?,It raises awareness and encourages people to take action to protect nature.,Giáo dục môi trường nâng cao nhận thức và khuyến khích mọi người hành động để bảo vệ thiên nhiên.,,,,,,,,,,,,,,,,,,,,
51,What are the main causes of air pollution in urban areas today?,Nguyên nhân chính gây ô nhiễm không khí ở khu vực đô thị hiện nay là gì?,"Vehicle emissions, industrial activities, burning fossil fuels, construction dust, and waste incineration.","Khí thải từ xe cộ, hoạt động công nghiệp, đốt nhiên liệu hóa thạch, bụi xây dựng và đốt chất thải.",,,,,,,,,,,,,,,,,,,,
52,How does deforestation affect global climate patterns?,Sự phá rừng ảnh hưởng đến mô hình khí hậu toàn cầu như thế nào?,"Releases carbon dioxide, reduces CO2 absorption, and disrupts rainfall patterns, worsening global warming.","Giải phóng carbon dioxide, làm giảm sự hấp thụ CO2 và phá vỡ các mô hình lượng mưa, làm trầm trọng thêm tình trạng nóng lên toàn cầu.",,,,,,,,,,,,,,,,,,,,
53,Why is plastic pollution such a significant problem for marine life?,Tại sao ô nhiễm nhựa lại là vấn đề nghiêm trọng đối với sinh vật biển?,"Marine animals ingest or get entangled in it, causing injury, starvation, death, and food chain disruption.","Động vật biển ăn phải hoặc bị vướng vào nó, gây thương tích, chết đói, tử vong và gián đoạn chuỗi thức ăn.",,,,,,,,,,,,,,,,,,,,
54,What role does industrial waste play in water pollution?,Chất thải công nghiệp đóng vai trò gì trong việc gây ô nhiễm nước?,"Contaminates water with chemicals, heavy metals, and untreated sewage, harming ecosystems and health.","Làm ô nhiễm nước bằng hóa chất, kim loại nặng và nước thải chưa qua xử lý, gây hại cho hệ sinh thái và sức khỏe.",,,,,,,,,,,,,,,,,,,,
55,How are rising global temperatures impacting polar ice caps?,Nhiệt độ toàn cầu tăng cao đang tác động như thế nào đến các tảng băng ở cực?,"Melts ice caps, reduces reflectivity, accelerates warming, and raises sea levels.","Làm tan chảy các tảng băng, làm giảm khả năng phản xạ, đẩy nhanh quá trình nóng lên và làm mực nước biển dâng cao.",,,,,,,,,,,,,,,,,,,,
56,What are the effects of overfishing on ocean ecosystems?,Tác động của việc đánh bắt quá mức đến hệ sinh thái đại dương là gì?,"Depletes fish populations, disrupts food webs, and damages habitats like coral reefs.","Làm cạn kiệt quần thể cá, phá vỡ chuỗi thức ăn và làm hỏng môi trường sống như rạn san hô.",,,,,,,,,,,,,,,,,,,,
57,How does urbanization contribute to habitat loss for wildlife?,Quá trình đô thị hóa góp phần làm mất môi trường sống của động vật hoang dã như thế nào?,"Clears forests, wetlands, and grasslands for infrastructure, reducing wildlife living space.","Khai hoang rừng, đất ngập nước và đồng cỏ để xây dựng cơ sở hạ tầng, thu hẹp không gian sống của động vật hoang dã.",,,,,,,,,,,,,,,,,,,,
58,Why are greenhouse gas emissions still increasing despite awareness?,Tại sao lượng khí thải nhà kính vẫn tăng mặc dù đã có nhận thức?,"Economic growth, fossil fuel reliance, weak policies, and population growth outpace reduction efforts.","Tăng trưởng kinh tế, phụ thuộc vào nhiên liệu hóa thạch, chính sách yếu kém và tăng trưởng dân số vượt xa các nỗ lực giảm thiểu.",,,,,,,,,,,,,,,,,,,,
59,What steps are governments taking to reduce carbon footprints?,Chính phủ đang thực hiện những bước nào để giảm lượng khí thải carbon?,"Promoting renewables, enforcing emissions rules, subsidizing green tech, and joining global agreements.","Thúc đẩy năng lượng tái tạo, thực thi các quy tắc phát thải, trợ cấp công nghệ xanh và tham gia các thỏa thuận toàn cầu.",,,,,,,,,,,,,,,,,,,,
60,How does soil degradation affect agricultural productivity?,Sự suy thoái đất ảnh hưởng đến năng suất nông nghiệp như thế nào?,"Reduces fertility, limits crop yields, and increases reliance on chemical fertilizers.","Giảm khả năng sinh sản, hạn chế năng suất cây trồng và tăng sự phụ thuộc vào phân bón hóa học.",,,,,,,,,,,,,,,,,,,,
61,What are the consequences of melting glaciers for sea levels?,Hậu quả của việc tan băng đối với mực nước biển là gì?,"Raises sea levels, floods coastal areas, and displaces communities and ecosystems.","Làm mực nước biển dâng cao, gây ngập lụt các vùng ven biển và di dời các cộng đồng và hệ sinh thái.",,,,,,,,,,,,,,,,,,,,
62,How is climate change influencing extreme weather events?,Biến đổi khí hậu đang ảnh hưởng đến các hiện tượng thời tiết cực đoan như thế nào?,"Increases frequency and intensity of storms, heatwaves, droughts, and floods.","Làm tăng tần suất và cường độ của bão, nắng nóng, hạn hán và lũ lụt.",,,,,,,,,,,,,,,,,,,,
63,Why is biodiversity loss considered a global crisis?,Tại sao mất đa dạng sinh học được coi là một cuộc khủng hoảng toàn cầu?,"Threatens ecosystem stability, food security, and resilience to environmental changes.","Đe dọa sự ổn định của hệ sinh thái, an ninh lương thực và khả năng phục hồi trước những thay đổi của môi trường.",,,,,,,,,,,,,,,,,,,,
64,What are the primary sources of renewable energy being used today?,Các nguồn năng lượng tái tạo chính đang được sử dụng hiện nay là gì?,"Solar, wind, hydropower, geothermal, and biomass energy.","Năng lượng mặt trời, gió, thủy điện, địa nhiệt và sinh khối.",,,,,,,,,,,,,,,,,,,,
65,How does single-use plastic impact the environment long-term?,Nhựa dùng một lần tác động đến môi trường trong dài hạn như thế nào?,"Persists in ecosystems, pollutes water and soil, and harms wildlife for decades.","Tồn tại trong hệ sinh thái, gây ô nhiễm nước và đất, và gây hại cho động vật hoang dã trong nhiều thập kỷ.",,,,,,,,,,,,,,,,,,,,
66,What measures can individuals take to reduce their environmental impact?,Cá nhân có thể thực hiện những biện pháp nào để giảm tác động đến môi trường?,"Reduce waste, use renewables, conserve water, and adopt sustainable habits.","Giảm thiểu chất thải, sử dụng năng lượng tái tạo, tiết kiệm nước và áp dụng các thói quen bền vững.",,,,,,,,,,,,,,,,,,,,
67,How are coral reefs being affected by ocean warming?,Các rạn san hô đang bị ảnh hưởng như thế nào bởi sự nóng lên của đại dương?,"Causes bleaching, weakens structures, and reduces biodiversity in reef ecosystems.","Gây ra hiện tượng tẩy trắng, làm suy yếu các cấu trúc và làm giảm đa dạng sinh học trong hệ sinh thái rạn san hô.",,,,,,,,,,,,,,,,,,,,
68,Why is electronic waste becoming a growing environmental issue?,Tại sao rác thải điện tử đang trở thành vấn đề môi trường ngày càng nghiêm trọng?,"Contains toxic materials, pollutes soil and water, and overwhelms waste systems.","Chứa các vật liệu độc hại, gây ô nhiễm đất và nước, và làm quá tải các hệ thống chất thải.",,,,,,,,,,,,,,,,,,,,
69,What role do corporations play in environmental degradation?,Các tập đoàn đóng vai trò gì trong việc làm suy thoái môi trường?,"Drive resource extraction, emissions, and waste through production and supply chains.","Đẩy mạnh khai thác tài nguyên, phát thải và chất thải thông qua chuỗi sản xuất và cung ứng.",,,,,,,,,,,,,,,,,,,,
70,How effective are current recycling programs worldwide?,Các chương trình tái chế hiện tại trên toàn thế giới có hiệu quả như thế nào?,Vary widely; effective in some regions but limited by contamination and low participation elsewhere.,Có nhiều thay đổi; có hiệu quả ở một số khu vực nhưng bị hạn chế bởi ô nhiễm và sự tham gia thấp ở những nơi khác.,,,,,,,,,,,,,,,,,,,,
71,What are the environmental impacts of large-scale mining?,Tác động môi trường của khai thác quy mô lớn là gì?,"Destroys habitats, pollutes water, and releases greenhouse gases.","Phá hủy môi trường sống, gây ô nhiễm nước và thải ra khí nhà kính.",,,,,,,,,,,,,,,,,,,,
72,How does air quality affect human health in polluted cities?,Chất lượng không khí ảnh hưởng đến sức khỏe con người ở các thành phố ô nhiễm như thế nào?,"Increases respiratory issues, heart disease, and premature deaths in polluted areas.","Tăng các vấn đề về hô hấp, bệnh tim và tử vong sớm ở những khu vực ô nhiễm.",,,,,,,,,,,,,,,,,,,,
73,Why are wetlands disappearing at an alarming rate?,Tại sao đất ngập nước đang biến mất với tốc độ đáng báo động?,"Drained for agriculture, urban development, and climate-driven drying.","Được khai thác để phục vụ cho nông nghiệp, phát triển đô thị và làm khô do biến đổi khí hậu.",,,,,,,,,,,,,,,,,,,,
74,What is the relationship between deforestation and carbon dioxide levels?,Mối quan hệ giữa nạn phá rừng và mức độ carbon dioxide là gì?,"Removes trees that absorb CO2, increasing atmospheric levels and warming.","Loại bỏ những cây hấp thụ CO2, làm tăng nồng độ khí quyển và nóng lên.",,,,,,,,,,,,,,,,,,,,
75,How are endangered species being protected from extinction?,Các loài có nguy cơ tuyệt chủng đang được bảo vệ khỏi sự tuyệt chủng như thế nào?,"Through protected areas, breeding programs, and laws against poaching and trade.","Thông qua các khu bảo tồn, chương trình nhân giống và luật chống săn trộm và buôn bán.",,,,,,,,,,,,,,,,,,,,
76,What challenges do renewable energy projects face today?,Các dự án năng lượng tái tạo hiện đang phải đối mặt với những thách thức nào?,"High costs, infrastructure needs, and inconsistent energy output.","Chi phí cao, nhu cầu về cơ sở hạ tầng và sản lượng năng lượng không ổn định.",,,,,,,,,,,,,,,,,,,,
77,How does overpopulation strain natural resources?,Dân số quá đông gây sức ép lên tài nguyên thiên nhiên như thế nào?,"Increases demand for food, water, and energy, depleting resources faster.","Làm tăng nhu cầu về thực phẩm, nước và năng lượng, làm cạn kiệt tài nguyên nhanh hơn.",,,,,,,,,,,,,,,,,,,,
78,Why is clean water becoming scarce in some regions?,Tại sao nước sạch trở nên khan hiếm ở một số vùng?,"Overuse, pollution, and climate change reduce freshwater availability.","Sử dụng quá mức, ô nhiễm và biến đổi khí hậu làm giảm nguồn nước ngọt.",,,,,,,,,,,,,,,,,,,,
79,What are the environmental effects of oil spills in the ocean?,Tác động của sự cố tràn dầu trên đại dương đối với môi trường là gì?,"Kills marine life, damages habitats, and disrupts ecosystems for years.","Giết chết sinh vật biển, phá hủy môi trường sống và phá vỡ hệ sinh thái trong nhiều năm.",,,,,,,,,,,,,,,,,,,,
80,How do pesticides harm ecosystems beyond their intended targets?,Thuốc trừ sâu gây hại cho hệ sinh thái như thế nào ngoài mục tiêu dự định của chúng?,"Harm pollinators, wildlife, and soil health, causing broader ecological damage.","Gây hại cho các loài thụ phấn, động vật hoang dã và sức khỏe đất, gây ra thiệt hại sinh thái rộng lớn hơn.",,,,,,,,,,,,,,,,,,,,
81,What is being done to combat desertification globally?,Những gì đang được thực hiện để chống lại tình trạng sa mạc hóa trên toàn cầu?,"Reforestation, sustainable farming, and international aid programs.","Tái trồng rừng, canh tác bền vững và các chương trình viện trợ quốc tế.",,,,,,,,,,,,,,,,,,,,
82,How does fast fashion contribute to environmental damage?,Thời trang nhanh góp phần gây ra thiệt hại cho môi trường như thế nào?,"Creates waste, uses toxic dyes, and consumes vast water and energy.","Tạo ra chất thải, sử dụng thuốc nhuộm độc hại và tiêu thụ rất nhiều nước và năng lượng.",,,,,,,,,,,,,,,,,,,,
83,Why are wildfires becoming more frequent and intense?,Tại sao cháy rừng ngày càng xảy ra thường xuyên và dữ dội hơn?,"Driven by higher temperatures, droughts, and human land mismanagement.","Do nhiệt độ cao, hạn hán và quản lý đất đai kém của con người.",,,,,,,,,,,,,,,,,,,,
84,What impact does transportation have on global emissions?,Giao thông vận tải có tác động như thế nào đến lượng khí thải toàn cầu?,"Contributes heavily via cars, planes, and shipping emissions.","Đóng góp rất nhiều thông qua khí thải từ ô tô, máy bay và tàu thuyền.",,,,,,,,,,,,,,,,,,,,
85,How are coastal areas preparing for rising sea levels?,Các vùng ven biển đang chuẩn bị như thế nào cho mực nước biển dâng cao?,"Building seawalls, relocating communities, and restoring natural barriers like mangroves.","Xây dựng đê chắn sóng, di dời cộng đồng và khôi phục các rào cản tự nhiên như rừng ngập mặn.",,,,,,,,,,,,,,,,,,,,
86,What are the benefits of reforestation efforts?,Những lợi ích của nỗ lực tái trồng rừng là gì?,"Restores habitats, sequesters carbon, and improves soil and water retention.","Khôi phục môi trường sống, cô lập carbon và cải thiện khả năng giữ nước và đất.",,,,,,,,,,,,,,,,,,,,
87,How does noise pollution affect wildlife behavior?,Ô nhiễm tiếng ồn ảnh hưởng đến hành vi của động vật hoang dã như thế nào?,"Disrupts mating, hunting, and migration patterns in animals.","Phá vỡ các mô hình giao phối, săn bắt và di cư ở động vật.",,,,,,,,,,,,,,,,,,,,
88,Why is sustainable agriculture gaining attention today?,Tại sao nông nghiệp bền vững đang được chú ý ngày nay?,"Reduces chemical use, preserves soil, and meets growing food demand sustainably.","Giảm sử dụng hóa chất, bảo vệ đất và đáp ứng nhu cầu lương thực ngày càng tăng một cách bền vững.",,,,,,,,,,,,,,,,,,,,
89,What are the long-term effects of nuclear waste on the environment?,Tác động lâu dài của chất thải hạt nhân đối với môi trường là gì?,"Contaminates soil and water, posing risks for centuries if mismanaged.","Làm ô nhiễm đất và nước, gây ra rủi ro trong nhiều thế kỷ nếu quản lý không tốt.",,,,,,,,,,,,,,,,,,,,
90,How do microplastics enter the human food chain?,Vi nhựa xâm nhập vào chuỗi thức ăn của con người như thế nào?,"Through seafood, water, and soil, accumulating in human tissues.","Thông qua hải sản, nước và đất, tích tụ trong mô người.",,,,,,,,,,,,,,,,,,,,
91,What role does education play in environmental conservation?,Giáo dục đóng vai trò gì trong việc bảo tồn môi trường?,"Raises awareness, changes behavior, and fosters sustainable practices.","Nâng cao nhận thức, thay đổi hành vi và thúc đẩy các hoạt động bền vững.",,,,,,,,,,,,,,,,,,,,
92,How are developing countries addressing environmental challenges?,Các nước đang phát triển đang giải quyết những thách thức về môi trường như thế nào?,"Adopting renewables, seeking aid, and balancing growth with conservation.","Áp dụng năng lượng tái tạo, tìm kiếm sự hỗ trợ và cân bằng tăng trưởng với bảo tồn.",,,,,,,,,,,,,,,,,,,,
93,Why is the loss of pollinators a threat to food security?,Tại sao việc mất đi các loài thụ phấn lại là mối đe dọa đối với an ninh lương thực?,"Reduces crop pollination, threatening food production and ecosystems.","Giảm thụ phấn cây trồng, đe dọa sản xuất lương thực và hệ sinh thái.",,,,,,,,,,,,,,,,,,,,
94,What are the environmental costs of cryptocurrency mining?,Chi phí môi trường của việc khai thác tiền điện tử là bao nhiêu?,High energy use for computing drives emissions and resource depletion.,Sử dụng nhiều năng lượng cho máy tính thúc đẩy phát thải và cạn kiệt tài nguyên.,,,,,,,,,,,,,,,,,,,,
95,How does illegal logging impact tropical rainforests?,Khai thác gỗ trái phép tác động đến rừng mưa nhiệt đới như thế nào?,"Destroys habitats, increases CO2, and threatens indigenous communities.","Phá hủy môi trường sống, làm tăng CO2 và đe dọa các cộng đồng bản địa.",,,,,,,,,,,,,,,,,,,,
96,What innovations are helping to clean up polluted rivers?,Những sáng kiến ​​nào đang giúp làm sạch các dòng sông bị ô nhiễm?,"Bioremediation, filtration systems, and trash-collecting drones.","Phục hồi sinh học, hệ thống lọc và máy bay không người lái thu gom rác.",,,,,,,,,,,,,,,,,,,,
97,How are animals adapting to changing climates?,Động vật đang thích nghi với khí hậu thay đổi như thế nào?,"Shifting habitats, altering behaviors, or facing extinction risks.","Thay đổi môi trường sống, thay đổi hành vi hoặc đối mặt với nguy cơ tuyệt chủng.",,,,,,,,,,,,,,,,,,,,
98,Why is ocean acidification a growing concern for marine life?,Tại sao axit hóa đại dương lại là mối lo ngại ngày càng tăng đối với sinh vật biển?,"Weakens shells, disrupts food chains, and harms marine biodiversity.","Làm yếu vỏ, phá vỡ chuỗi thức ăn và gây hại cho đa dạng sinh học biển.",,,,,,,,,,,,,,,,,,,,
99,What are the environmental impacts of tourism in sensitive areas?,Tác động của du lịch đến môi trường ở những khu vực nhạy cảm là gì?,"Strains resources, damages ecosystems, and increases waste in fragile areas.","Gây căng thẳng cho tài nguyên, phá hủy hệ sinh thái và tăng chất thải ở những khu vực dễ bị tổn thương.",,,,,,,,,,,,,,,,,,,,
100,How can technology help solve current environmental problems?,Công nghệ có thể giúp giải quyết các vấn đề môi trường hiện tại như thế nào?,"Offers solutions like clean energy, pollution monitoring, and waste management tools.","Cung cấp các giải pháp như năng lượng sạch, giám sát ô nhiễm và các công cụ quản lý chất thải.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
